step,baseline__seed0,baseline__seed1,baseline__seed2,epsilon_only__seed0,epsilon_only__seed1,epsilon_only__seed2,eligibility_only__seed0,eligibility_only__seed1,eligibility_only__seed2,no_gaussian__seed0,no_gaussian__seed1,no_gaussian__seed2,gaussian_only__seed0,gaussian_only__seed1,gaussian_only__seed2,no_eligibility__seed0,no_eligibility__seed1,no_eligibility__seed2,gaussian_eligibility__seed0,gaussian_eligibility__seed1,gaussian_eligibility__seed2,full_gta__seed0,full_gta__seed1,full_gta__seed2
97,11.0,10.0,103.0,19.0,31.0,15.0,11.0,10.0,9.0,20.0,34.0,16.0,11.0,10.0,70.0,14.0,65.0,15.0,11.0,10.0,115.0,500.0,48.0,16.0
98,10.0,10.0,105.0,11.0,16.0,21.0,10.0,10.0,10.0,59.0,20.0,19.0,10.0,10.0,116.0,11.0,66.0,19.0,10.0,10.0,11.0,329.0,19.0,19.0
99,11.0,12.0,100.0,19.0,25.0,13.0,11.0,12.0,9.0,22.0,21.0,13.0,11.0,12.0,112.0,16.0,52.0,13.0,15.0,12.0,117.0,219.0,31.0,14.0
100,10.0,9.0,98.0,15.0,15.0,16.0,10.0,9.0,9.0,29.0,13.0,15.0,10.0,9.0,72.0,13.0,62.0,10.0,10.0,12.0,121.0,457.0,41.0,12.0
101,9.0,9.0,105.0,21.0,14.0,20.0,9.0,9.0,11.0,18.0,13.0,19.0,12.0,9.0,88.0,18.0,62.0,12.0,12.0,12.0,117.0,500.0,17.0,17.0
102,9.0,10.0,113.0,21.0,20.0,20.0,9.0,10.0,12.0,26.0,19.0,17.0,11.0,10.0,116.0,17.0,69.0,19.0,12.0,10.0,125.0,216.0,26.0,19.0
103,10.0,11.0,104.0,15.0,23.0,26.0,10.0,11.0,11.0,38.0,25.0,21.0,10.0,11.0,113.0,13.0,64.0,19.0,10.0,10.0,124.0,474.0,115.0,19.0
104,10.0,10.0,110.0,13.0,27.0,23.0,10.0,10.0,13.0,41.0,27.0,21.0,10.0,10.0,121.0,11.0,59.0,19.0,10.0,10.0,121.0,500.0,67.0,21.0
105,10.0,10.0,104.0,13.0,23.0,17.0,10.0,10.0,10.0,40.0,23.0,17.0,10.0,10.0,112.0,11.0,24.0,18.0,10.0,10.0,118.0,500.0,91.0,21.0
106,10.0,9.0,109.0,13.0,15.0,21.0,10.0,9.0,10.0,35.0,19.0,31.0,16.0,9.0,36.0,11.0,59.0,17.0,10.0,14.0,122.0,500.0,40.0,21.0
107,9.0,10.0,102.0,17.0,23.0,16.0,9.0,10.0,9.0,31.0,21.0,15.0,17.0,10.0,108.0,16.0,63.0,13.0,21.0,10.0,115.0,500.0,34.0,13.0
108,12.0,9.0,101.0,13.0,13.0,15.0,12.0,9.0,9.0,33.0,22.0,15.0,17.0,13.0,116.0,20.0,56.0,23.0,15.0,13.0,112.0,500.0,26.0,12.0
109,9.0,9.0,106.0,20.0,17.0,15.0,9.0,9.0,9.0,20.0,17.0,15.0,17.0,12.0,118.0,21.0,29.0,26.0,13.0,13.0,118.0,500.0,223.0,15.0
