step,baseline__seed0,baseline__seed1,baseline__seed2,gaussian_only__seed0,gaussian_only__seed1,gaussian_only__seed2,gaussian_eligibility__seed0,gaussian_eligibility__seed1,gaussian_eligibility__seed2,full_gta__seed0,full_gta__seed1,full_gta__seed2
175,24.0,11.0,114.0,18.0,11.0,128.0,15.0,13.0,131.0,385.0,280.0,164.0
176,11.0,17.0,129.0,9.0,15.0,133.0,13.0,21.0,130.0,477.0,250.0,15.0
177,17.0,23.0,109.0,17.0,22.0,121.0,21.0,23.0,122.0,392.0,304.0,211.0
178,29.0,13.0,110.0,15.0,12.0,128.0,23.0,17.0,128.0,500.0,500.0,215.0
179,10.0,18.0,116.0,11.0,15.0,126.0,19.0,32.0,130.0,500.0,328.0,173.0
180,17.0,17.0,120.0,15.0,16.0,129.0,23.0,23.0,132.0,500.0,297.0,178.0
181,19.0,19.0,111.0,17.0,15.0,124.0,21.0,15.0,130.0,500.0,295.0,132.0
182,19.0,16.0,110.0,17.0,15.0,119.0,23.0,23.0,128.0,497.0,292.0,218.0
183,13.0,11.0,119.0,12.0,20.0,138.0,36.0,17.0,140.0,500.0,267.0,243.0
184,13.0,14.0,109.0,11.0,19.0,121.0,15.0,26.0,128.0,500.0,299.0,123.0
185,19.0,11.0,118.0,19.0,11.0,129.0,23.0,13.0,148.0,500.0,272.0,161.0
186,13.0,17.0,110.0,13.0,19.0,122.0,14.0,29.0,142.0,432.0,340.0,210.0
187,18.0,13.0,114.0,14.0,11.0,132.0,16.0,19.0,146.0,328.0,286.0,86.0
188,11.0,16.0,111.0,13.0,25.0,127.0,17.0,21.0,163.0,500.0,328.0,10.0
189,15.0,11.0,117.0,18.0,15.0,123.0,22.0,15.0,172.0,500.0,297.0,310.0
190,11.0,20.0,120.0,10.0,21.0,129.0,16.0,25.0,182.0,500.0,321.0,299.0
191,23.0,23.0,62.0,14.0,26.0,133.0,26.0,23.0,176.0,500.0,392.0,230.0
192,26.0,15.0,119.0,20.0,13.0,131.0,29.0,24.0,143.0,499.0,342.0,18.0
193,15.0,21.0,115.0,12.0,19.0,133.0,23.0,23.0,195.0,500.0,305.0,335.0
194,21.0,13.0,111.0,17.0,14.0,126.0,27.0,19.0,161.0,500.0,373.0,258.0
195,17.0,14.0,108.0,13.0,11.0,126.0,23.0,19.0,144.0,500.0,263.0,216.0
196,13.0,13.0,120.0,14.0,12.0,132.0,19.0,19.0,160.0,330.0,259.0,239.0
197,13.0,21.0,125.0,12.0,24.0,137.0,19.0,29.0,189.0,453.0,259.0,209.0
198,21.0,23.0,120.0,20.0,22.0,138.0,23.0,37.0,209.0,500.0,296.0,157.0
199,22.0,27.0,114.0,20.0,19.0,118.0,31.0,37.0,159.0,500.0,342.0,149.0
200,27.0,15.0,72.0,15.0,21.0,129.0,27.0,47.0,161.0,500.0,372.0,237.0
201,15.0,13.0,119.0,15.0,15.0,145.0,23.0,17.0,194.0,500.0,322.0,256.0
202,13.0,23.0,112.0,11.0,22.0,136.0,17.0,33.0,168.0,500.0,500.0,213.0
203,25.0,15.0,113.0,19.0,14.0,139.0,30.0,25.0,166.0,462.0,371.0,15.0
204,16.0,13.0,109.0,13.0,19.0,102.0,25.0,22.0,193.0,500.0,500.0,297.0
205,13.0,11.0,111.0,12.0,13.0,107.0,20.0,15.0,170.0,404.0,371.0,305.0
206,11.0,12.0,118.0,11.0,17.0,150.0,17.0,32.0,159.0,482.0,332.0,293.0
207,13.0,17.0,115.0,12.0,29.0,142.0,17.0,23.0,162.0,368.0,345.0,279.0
208,20.0,13.0,116.0,19.0,25.0,139.0,28.0,28.0,166.0,500.0,500.0,245.0
209,17.0,17.0,122.0,14.0,30.0,176.0,23.0,25.0,186.0,500.0,500.0,247.0
210,18.0,19.0,112.0,17.0,28.0,137.0,25.0,40.0,168.0,500.0,500.0,202.0
211,22.0,15.0,118.0,19.0,36.0,163.0,33.0,36.0,177.0,500.0,500.0,17.0
212,17.0,16.0,123.0,15.0,27.0,166.0,19.0,42.0,182.0,500.0,500.0,371.0
213,16.0,22.0,112.0,17.0,23.0,158.0,27.0,272.0,175.0,412.0,500.0,349.0
214,23.0,11.0,116.0,29.0,13.0,161.0,33.0,26.0,183.0,500.0,460.0,311.0
215,11.0,15.0,111.0,9.0,29.0,152.0,13.0,97.0,156.0,476.0,500.0,259.0
216,17.0,13.0,112.0,17.0,19.0,163.0,29.0,58.0,165.0,500.0,500.0,246.0
217,17.0,13.0,110.0,13.0,22.0,163.0,39.0,17.0,160.0,500.0,500.0,239.0
218,13.0,11.0,115.0,12.0,17.0,155.0,15.0,26.0,168.0,459.0,165.0,219.0
219,11.0,13.0,112.0,11.0,15.0,189.0,17.0,258.0,159.0,442.0,500.0,244.0
220,11.0,11.0,108.0,13.0,11.0,159.0,15.0,317.0,162.0,456.0,500.0,211.0
221,11.0,13.0,114.0,11.0,22.0,176.0,15.0,266.0,206.0,500.0,487.0,223.0
222,14.0,15.0,118.0,12.0,21.0,172.0,19.0,122.0,196.0,500.0,394.0,155.0
223,14.0,17.0,112.0,14.0,27.0,167.0,21.0,58.0,169.0,500.0,13.0,238.0
224,17.0,12.0,105.0,15.0,15.0,154.0,27.0,193.0,160.0,500.0,10.0,273.0
225,11.0,12.0,134.0,10.0,15.0,175.0,11.0,181.0,182.0,500.0,500.0,291.0
226,11.0,21.0,116.0,15.0,33.0,174.0,16.0,140.0,178.0,456.0,366.0,256.0
227,19.0,23.0,125.0,27.0,25.0,196.0,48.0,102.0,202.0,500.0,336.0,260.0
228,17.0,28.0,110.0,25.0,27.0,164.0,46.0,225.0,168.0,500.0,316.0,194.0
229,22.0,11.0,121.0,31.0,16.0,196.0,43.0,128.0,192.0,500.0,27.0,235.0
230,11.0,21.0,116.0,15.0,25.0,173.0,34.0,16.0,171.0,445.0,352.0,253.0
231,21.0,15.0,120.0,25.0,28.0,182.0,44.0,226.0,175.0,458.0,500.0,257.0
232,15.0,22.0,120.0,21.0,35.0,196.0,27.0,193.0,203.0,287.0,347.0,240.0
233,20.0,19.0,127.0,23.0,31.0,199.0,16.0,213.0,222.0,479.0,324.0,215.0
234,21.0,28.0,107.0,29.0,26.0,158.0,29.0,227.0,215.0,500.0,245.0,274.0
235,22.0,13.0,119.0,21.0,15.0,176.0,42.0,192.0,183.0,346.0,339.0,326.0
236,11.0,19.0,106.0,15.0,31.0,158.0,15.0,201.0,161.0,420.0,274.0,295.0
237,21.0,9.0,115.0,25.0,15.0,167.0,29.0,228.0,187.0,319.0,307.0,339.0
238,11.0,15.0,119.0,18.0,23.0,189.0,15.0,204.0,202.0,500.0,336.0,327.0
239,15.0,23.0,114.0,21.0,27.0,168.0,15.0,156.0,204.0,500.0,349.0,279.0
240,19.0,13.0,119.0,27.0,22.0,178.0,29.0,269.0,200.0,500.0,406.0,258.0
241,12.0,19.0,108.0,23.0,27.0,154.0,21.0,258.0,162.0,500.0,425.0,216.0
242,17.0,12.0,118.0,17.0,17.0,197.0,28.0,111.0,187.0,500.0,500.0,242.0
243,13.0,17.0,122.0,13.0,27.0,195.0,260.0,277.0,194.0,500.0,353.0,283.0
244,16.0,23.0,112.0,23.0,30.0,177.0,44.0,257.0,179.0,500.0,314.0,246.0
245,24.0,13.0,91.0,24.0,20.0,160.0,333.0,17.0,187.0,500.0,385.0,255.0
246,13.0,17.0,121.0,22.0,38.0,177.0,265.0,295.0,195.0,378.0,421.0,265.0
247,12.0,21.0,109.0,22.0,33.0,166.0,215.0,392.0,173.0,426.0,374.0,233.0
248,21.0,11.0,122.0,29.0,17.0,195.0,142.0,230.0,201.0,441.0,353.0,263.0
249,10.0,23.0,120.0,17.0,37.0,179.0,18.0,268.0,197.0,500.0,290.0,247.0
250,25.0,19.0,110.0,40.0,31.0,189.0,237.0,239.0,195.0,391.0,328.0,254.0
251,21.0,13.0,120.0,29.0,26.0,184.0,100.0,218.0,207.0,426.0,270.0,278.0
252,15.0,23.0,114.0,19.0,31.0,168.0,197.0,218.0,204.0,500.0,293.0,271.0
253,20.0,15.0,111.0,29.0,20.0,167.0,179.0,13.0,185.0,500.0,383.0,263.0
254,15.0,13.0,108.0,21.0,19.0,164.0,173.0,325.0,170.0,500.0,434.0,217.0
255,17.0,11.0,110.0,24.0,15.0,164.0,153.0,302.0,173.0,500.0,500.0,230.0
256,13.0,15.0,112.0,17.0,31.0,180.0,145.0,256.0,185.0,500.0,500.0,244.0
257,15.0,15.0,108.0,25.0,19.0,177.0,151.0,258.0,179.0,500.0,337.0,241.0
258,15.0,13.0,111.0,21.0,32.0,184.0,179.0,273.0,189.0,500.0,356.0,260.0
